,product_id,url,brandname,category,individual_category,category_by_gender,description
0,2296012,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans
1,13780156,https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants
2,11895958,https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt
3,4335679,https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude
4,11690882,https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt
5,2490950,https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top
6,6744434,https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers
7,8439415,https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top
8,17381394,https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts
9,2359257,https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans
